# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,
# Thu Jun 13 15:30:11 2019,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# CONSTRAINT:  where (koi_disposition like 'CAN%'),,,,,,,,,,,,,,
# CONSTRAINT:  order by koi_disposition asc,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,
# COLUMN kepoi_name:     KOI Name,,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,,
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days],,,,,,,,,,,,,,
# COLUMN koi_prad:       Planetary Radius [Earth radii],,,,,,,,,,,,,,
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii],,,,,,,,,,,,,,
# COLUMN koi_teq:        Equilibrium Temperature [K],,,,,,,,,,,,,,
# COLUMN koi_insol:      Insolation Flux [Earth flux],,,,,,,,,,,,,,
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux],,,,,,,,,,,,,,
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],,,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,,
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
kepid,kepoi_name,koi_period,koi_period_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_steff,koi_steff_err1,koi_slogg,koi_slogg_err1,koi_srad,koi_srad_err1
5881813,K02744.02,11.615625,0.0001528,2.84,0.43,905,158.69,65.4,5332,88,4.083,0.368,1.453,0.218
5888187,K07749.01,133.6348207,0.0009309,1.89,0.12,317,2.38,0.48,5202,83,4.434,0.104,0.918,0.058
5894182,K07750.01,494.485085,0.004886,5.03,0.95,379,4.88,2.79,6303,172,3.774,0.293,2.553,0.481
5897826,K00126.02,0.875197345,,0.73,0.11,2518,9497.39,4250.51,5855,117,3.999,0.196,1.796,0.281
5898983,K03422.01,40.1454757,0.0008974,13.01,1.98,1640,1708.38,1122.5,7852,447,3.159,0.368,7.162,1.091
5900235,K03426.01,58.7701045,0.0009315,1.57,0.45,508,15.78,13.68,6158,184,4.397,0.108,1.013,0.292
5903749,K03029.02,6.34724702,6.771E-05,1.35,0.16,919,168.14,56.31,5300,79,4.385,0.126,0.986,0.12
5903749,K03029.01,18.9763286,0.00015,2.24,0.27,638,39.11,13.09,5300,79,4.385,0.126,0.986,0.12
5905822,K02801.01,6.99205021,3.838E-05,1.06,0.18,1194,479.87,237.62,6057,134,4.139,0.168,1.467,0.25
5906426,K02377.01,13.9034057,0.0001007,1.55,0.31,646,41.08,30.82,5261,265,4.523,0.076,0.819,0.163
5906694,K04069.01,13.06243545,7.124E-05,1.36,0.11,527,18.25,5.69,4522,136,4.615,0.049,0.655,0.052
5942808,K02250.02,0.626281766,1.041E-06,1.76,0.13,1711,2011.27,650.7,4922,169,4.505,0.084,0.823,0.062
5942808,K02250.01,2.935362067,5.061E-06,3.15,0.24,1022,258.48,83.62,4922,169,4.505,0.084,0.823,0.062
5942949,K02525.01,57.2932309,0.0005315,1.95,0.14,355,3.76,1.09,4806,144,4.564,0.065,0.729,0.051
5946568,K05211.01,3.5645249,5.584E-05,0.6,0.06,1029,265.37,81.29,5435,73,4.578,0.011,0.824,0.093
5951140,K06635.01,0.52740121,1.016E-05,1.49,0.19,1027,263.23,87.78,3582,52,4.847,0.06,0.41,0.05
5953297,K02733.01,5.62006198,2.995E-05,1.45,0.08,772,84.01,16.64,4868,78,4.6,0.014,0.746,0.045
5954001,K04633.01,11.6933447,0.0002027,1.12,0.2,950,192.95,91.31,6049,72,4.248,0.125,1.354,0.251
5954894,K05213.01,48.2455501,0.0005953,0.64,0.28,449,9.61,12.67,5441,173,4.481,0.093,0.827,0.356
5955197,K08111.01,359.33831,0.01173,2.33,0.31,216,0.52,0.26,5316,204,4.539,0.085,0.753,0.102
5956171,K08259.01,402.27493,0.02267,1.73,0.52,262,1.11,1,6299,170,4.486,0.054,0.95,0.29
5956656,K01053.02,46.245164,0.0004925,2.46,0.36,519,17.15,6.57,5553,74,4.32,0.137,1.107,0.161
5962262,K04661.01,8.61742738,6.717E-05,1.01,0.04,733,68.28,9.75,5009,74,4.491,0.077,0.84,0.032
5963582,K02479.01,25.5433704,0.0002261,2.11,0.41,772,84,46.41,5422,119,3.945,0.162,1.782,0.344
5965629,K05216.01,377.311149,0.007296,2.56,1.08,243,0.83,1.06,5897,169,4.531,0.031,0.891,0.378
5965819,K03319.01,19.5906103,0.0001318,2.64,0.44,819,106.48,45.65,5794,78,4.118,0.182,1.496,0.245
5966732,K06641.01,1.400903699,8.365E-06,1.16,0.34,1764,2284.73,1999.71,6375,177,4.474,0.065,0.975,0.289
5966810,K03909.01,247.891041,0.002547,4.74,0.87,367,4.27,2.03,6121,82,4.163,0.154,1.536,0.281
5972334,K00191.03,0.708621057,1.357E-06,1.2,0.12,1846,2741.07,857.46,5422,108,4.484,0.063,0.887,0.09
5972334,K00191.02,2.418406841,2.472E-06,2.25,0.23,1226,535.84,167.62,5422,108,4.484,0.063,0.887,0.09
5978170,K03140.01,5.68879083,3.89E-05,0.99,0.05,645,40.88,10.5,4234,128,4.63,0.049,0.639,0.036
5978361,K00558.01,9.17858526,1.432E-05,2.3,0.52,753,76.14,52.19,5506,166,4.584,0.036,0.788,0.176
5978559,K02321.02,36.2530992,0.0009613,1.43,0.23,582,27.17,11.03,6002,71,4.424,0.032,1.081,0.171
5978559,K02321.01,95.6114617,0.000863,2.37,0.38,421,7.45,3.03,6002,71,4.424,0.032,1.081,0.171
5980783,K02967.01,37.3033197,0.0005879,2.31,0.57,493,14,10.85,5646,186,4.55,0.053,0.817,0.203
5981058,K05219.01,27.765596,0.001354,1.2,0.16,605,31.66,10.66,5897,70,4.476,0.028,0.999,0.129
5985713,K03190.01,8.95294046,8.727E-05,0.86,0.14,1012,247.66,111.75,6047,120,4.266,0.156,1.207,0.191
6019971,K06646.01,7.1356633,5.457E-05,1.38,0.1,751,75.39,22.57,4926,148,4.522,0.084,0.793,0.059
6021840,K05222.01,367.6758,0.03193,2.77,1.42,271,1.27,1.93,6140,156,4.455,0.043,1.048,0.537
6023571,K05223.01,354.21154,0.0108,8.41,4.56,363,4.12,6.59,4842,111,3.562,0.184,3.035,1.644
6025124,K03411.01,26.83771808,1.403E-05,12.68,4.24,658,44.22,44.81,6194,194,4.445,0.058,1.069,0.357
6025174,K05224.01,171.028691,0.004428,2.49,0.42,376,4.72,2.03,6123,73,4.332,0.051,1.252,0.21
6026737,K02949.02,3.75030469,4.417E-05,0.87,0.14,1374,842.07,366.16,5866,105,4.191,0.162,1.339,0.209
6026737,K02949.01,10.1747037,0.000126,1.04,0.16,985,222.53,96.77,5866,105,4.191,0.162,1.339,0.209
6029239,K00304.02,5.518195,0.006657,0.46,0.06,969,208.54,79.99,5767,92,4.538,0.021,0.881,0.123
6032730,K06141.01,96.509214,0.001084,860.3,221.8,787,90.63,71.08,7343,224,3.751,0.269,2.955,0.762
6034379,K05226.01,249.35154,0.01495,4.42,0,289,1.65,0,5780,,4.438,,1,
6034834,K05227.01,371.56492,0.0139,1.89,0.82,259,1.06,1.39,5735,172,4.351,0.183,0.972,0.422
6036286,K05228.01,546.53309,0.04248,1.03,0.17,94,0.02,0.01,3434,72,4.892,0.06,0.36,0.06
6038152,K05229.01,364.63189,0.02708,2.06,1.13,298,1.86,3.05,6446,162,4.381,0.067,1.155,0.632
6041734,K02167.02,6.95787,0.0003496,1.39,0.55,1047,284.4,339.61,6240,192,4.406,0.083,1.025,0.404
6043490,K05230.01,330.738115,0.008044,4.42,2.08,375,4.7,6.84,5458,176,3.755,0.539,2.453,1.154
6043538,K07759.01,6.2253374,7.611E-05,1.92,0.28,1378,851.73,333.76,6263,82,4.024,0.196,1.726,0.258
6043562,K04764.01,31.4202111,0.0004258,1.45,0.21,471,11.6,5.66,5269,158,4.603,0.032,0.748,0.112
6045093,K06653.01,28.2682167,0.0004556,1.22,0.47,526,18.12,21.38,5496,168,4.564,0.024,0.838,0.327
6045404,K05231.01,78.876125,0.002088,2.03,0.84,427,7.86,9.78,6046,177,4.509,0.041,0.927,0.384
6049190,K01685.01,70.468171,0.000268,3.46,1.11,511,16.17,14.92,6461,158,4.396,0.067,1.131,0.363
6057750,K06657.01,1.6037058,2.591E-05,1.54,0.37,2492,9138.09,5555.35,6400,76,3.877,0.165,2.512,0.599
6058816,K03500.02,4.7482669,6.006E-05,1.57,0.21,1690,1927.62,706.15,6056,81,3.797,0.285,2.481,0.343
6058816,K03500.01,73.7502765,0.0005225,3.78,0.53,677,49.76,18.22,6056,81,3.797,0.285,2.481,0.343
6061773,K02001.01,8.27745764,4.611E-05,2.46,1.26,1088,331.35,518.86,5129,153,3.884,0.707,1.781,0.909
6062929,K02315.01,22.1334224,0.0001092,1.76,0.24,507,15.65,7.08,5165,153,4.633,0.033,0.702,0.096
6067545,K05236.01,550.86514,0.01215,2.06,0.34,238,0.76,0.31,5912,71,4.367,0.08,1.115,0.181
6070337,K04632.01,40.0691482,0.0003946,13.25,2.59,458,10.42,6.65,5485,191,4.575,0.051,0.762,0.149
6103377,K03004.02,7.03965141,7.836E-05,2.72,0.46,1171,445.49,192.92,5902,70,4.128,0.182,1.513,0.256
6106046,K07762.01,8.5073512,9.772E-05,1.38,0.43,891,148.86,140.34,5914,184,4.483,0.054,0.955,0.297
6111011,K06664.01,14.7639145,0.0002655,0.93,0.17,632,37.74,22.22,5541,166,4.613,0.04,0.733,0.138
6114140,K08117.01,0.933745798,2.348E-06,3.45,1.07,2097,4570.22,4143.3,6367,172,4.419,0.065,1.087,0.336
6115356,K05237.01,380.39474,0.02229,1.84,0.8,224,0.6,0.79,5772,180,4.608,0.027,0.745,0.325
6116172,K06142.02,111.65546,0.0006737,2121,1289,579,26.58,50.57,6967,205,4.086,0.141,1.863,1.132
6119141,K02343.01,29.0726293,0.0001249,2.32,0.67,614,33.69,28.59,5799,157,4.37,0.144,1.042,0.301
6124137,K07764.01,227.83457,0.01402,2.83,0.45,449,9.59,3.97,6004,80,3.814,0.224,2.193,0.347
6128245,K06666.01,1.118510435,7.069E-06,0.75,0.21,1684,1898.51,1579.81,5918,160,4.544,0.036,0.865,0.245
6131130,K03307.01,10.5071781,0.0001082,1.41,0.24,737,69.76,39.23,5290,167,4.46,0.117,0.865,0.151
6131236,K01051.01,6.79685353,2.247E-05,2.01,0.62,985,222.91,206.66,6061,180,4.486,0.05,0.97,0.3
6140059,K04123.01,44.6226725,0.0007691,1.73,0.5,613,33.39,27.93,6198,169,4.252,0.204,1.239,0.352
6144039,K04602.01,2.85855049,2.18E-05,1.23,0.14,1212,510.14,157.95,5441,76,4.415,0.108,0.964,0.109
6149910,K02469.01,131.187921,0.001563,2.34,0.09,284,1.54,0.22,4898,78,4.518,0.068,0.803,0.028
6153407,K03179.01,5.99078221,4.958E-05,1.03,0.15,987,223.93,87.8,5721,102,4.442,0.072,0.972,0.135
6183511,K02542.01,0.727331746,1.291E-06,0.67,0.11,849,122.92,56.11,3460,69,4.92,0.058,0.356,0.057
6185476,K00227.01,17.65737838,1.528E-05,2.45,0.27,350,3.55,1.03,3745,51,4.784,0.07,0.47,0.05
6186182,K04496.01,96.384483,0.0014,2.41,0.74,400,6.03,5.41,5919,162,4.485,0.039,1,0.305
6187508,K06672.01,2.28494301,1.043E-05,1,0.18,1180,458.39,260.01,5396,159,4.571,0.04,0.789,0.143
6197215,K02829.01,10.61345333,2.552E-05,1.77,0.29,987,224.63,106.94,5865,117,4.163,0.182,1.388,0.233
6197344,K04463.01,36.7614011,0.0009643,1.52,0.24,475,12,6.54,5305,185,4.504,0.09,0.823,0.132
6197658,K05247.01,282.0309,0.1416,3.22,2.21,315,2.32,4.94,6343,153,4.411,0.053,1.137,0.781
6198182,K02636.01,3.88148385,3.403E-05,0.59,0.09,1156,423,178.88,5854,105,4.469,0.04,0.979,0.148
6198182,K02636.02,5.1777226,0.0009756,0.63,0.12,1050,287.44,149.13,5854,106,4.469,0.036,0.979,0.185
6198670,K05248.01,179.25465,0.02287,1.35,0.63,301,1.94,2.8,5692,181,4.496,0.082,0.82,0.383
6200810,K03397.01,35.8754482,0.0003946,2.35,0.74,668,47.15,42.33,6559,158,4.357,0.065,1.218,0.382
6203955,K05249.01,19.4534296,0.0003821,1.25,0.38,744,72.59,65.57,6372,176,4.453,0.054,1.015,0.311
6209225,K06676.01,439.21978,0.01354,1.81,0.62,266,1.18,1.17,6553,161,4.479,0.048,0.962,0.331
6209677,K01750.02,2.53742164,1.271E-05,0.93,0.1,1220,525.68,162.93,5447,81,4.481,0.053,0.917,0.102
6211812,K02638.01,2.524017517,6.547E-06,1.5,0.31,1203,495.14,324.68,5420,177,4.487,0.077,0.871,0.18
6220312,K04793.01,5.2736268,0.0001581,0.89,0.27,1014,249.68,230.17,5851,157,4.515,0.039,0.918,0.289
6221385,K06145.03,7.3138454,0.0006871,2.73,0.74,1263,601.53,482.81,6486,181,4.136,0.246,1.485,0.402
6223324,K04274.01,1.97507424,1.386E-05,1.08,0.35,1477,1122.82,1093.9,6065,190,4.495,0.052,0.947,0.304
6231721,K07773.01,2.69339974,2.951E-05,1.04,0.19,1151,415.96,248.77,5355,175,4.511,0.057,0.863,0.16
6264750,K04715.01,53.285584,0.001112,1.44,0.42,537,19.63,17.36,6015,200,4.297,0.236,1.057,0.302
6265961,K06680.01,5.52507406,5.469E-05,0.8,0.12,1028,263.79,101.96,5600,75,4.378,0.11,1.037,0.152
6266866,K05254.01,232.916142,0.004621,1.2,0.53,361,4.02,5.18,5807,147,4.108,0.255,1.496,0.657
6268648,K01613.03,20.605501,0.0002593,0.85,0.04,806,99.53,14.09,6099,79,4.193,0.016,1.308,0.054
6268648,K01613.02,94.094392,0.003053,0.9,0.04,486,13.14,1.86,6099,79,4.193,0.016,1.308,0.054
6276791,K04477.01,5.30179786,4.201E-05,1.22,0.33,973,211.8,168.16,5749,153,4.547,0.033,0.864,0.234
6276791,K04477.02,9.32867952,3.812E-05,1.62,0.44,806,99.6,79.07,5749,153,4.547,0.033,0.864,0.234
6277410,K07774.01,6.32589574,6.033E-05,1.14,0.31,901,156.27,126.86,5749,155,4.568,0.033,0.818,0.226
6278670,K07775.01,89.945828,0.001716,3.46,2.21,509,15.86,32.13,5115,153,3.819,0.791,1.924,1.231
6289650,K00415.01,166.7876551,0.0001312,7.03,1.04,334,2.93,1.24,5663,112,4.377,0.103,1.031,0.152
6290935,K04302.01,5.53312006,7.177E-05,1.05,0.18,1303,680.77,309.09,6170,83,4.15,0.168,1.425,0.248
6291837,K00308.01,35.5969684,0.0001131,3.72,0.64,646,41.06,19.66,6212,111,4.309,0.095,1.209,0.21
6300348,K00212.01,5.69590202,1.593E-06,6.61,2.13,1043,279.61,273.07,6106,190,4.497,0.052,0.94,0.303
6307000,K06687.01,1.002591901,4.985E-06,0.87,0.08,1391,884.21,298.22,4893,161,4.574,0.05,0.739,0.062
6307083,K02050.02,3.17796408,1.868E-05,0.74,0.04,1034,270.25,44.83,5061,83,4.488,0.088,0.841,0.038
6309307,K05262.01,438.98396,0.02088,32.58,1.07,599,30.43,3.5,5053,56,2.77,0.03,11.706,0.385
6309763,K00611.01,3.251659087,3.66E-07,9.83,3.04,1384,865.87,772.89,6367,160,4.419,0.065,1.087,0.336
6311891,K04627.01,7.51731745,9.549E-05,1.19,0.15,861,129.74,42.31,5525,74,4.488,0.045,0.923,0.112
6342333,K02065.01,80.2321467,0.0003914,3.24,0.38,380,4.91,1.59,5436,81,4.505,0.039,0.888,0.104
6345758,K06689.01,3.37116682,5.646E-05,0.98,0.26,1291,656.3,511.24,5653,154,4.288,0.204,1.163,0.307
6346809,K02775.01,17.57704569,5.589E-05,27.21,6.98,673,48.33,37.5,5653,169,4.442,0.116,0.901,0.231
6350031,K05267.01,5.1779065,0.0006357,2.93,0.45,1636,1692.64,703.77,5921,89,3.766,0.238,2.589,0.401
6350882,K04410.01,5.04404366,3.934E-05,1.47,0.49,1078,318.92,325.46,6039,189,4.493,0.054,0.951,0.32
6356400,K07776.01,541.92452,0.01934,3.15,0.23,144,0.1,0.03,4378,131,4.64,0.052,0.614,0.045
6356506,K08263.01,280.55544,0.02526,2.17,0.72,308,2.13,2.11,6292,174,4.426,0.054,1.078,0.361
6356692,K02948.01,11.39169531,7.567E-05,1.02,0.18,886,145.67,71.74,5557,122,4.198,0.208,1.249,0.212
6357290,K03040.01,4.8099878,2.659E-05,1.59,0.43,1077,317.8,262.07,5988,188,4.507,0.055,0.934,0.252
6358937,K04794.01,24.5041103,0.000659,1.03,0.19,574,25.59,13.03,5250,86,4.404,0.098,0.962,0.182
6359320,K01127.03,2.83668931,2.819E-05,1.19,0.39,1242,562.48,558.76,5831,184,4.517,0.038,0.921,0.301
6359881,K05268.01,474.22897,0.03071,2,0.77,225,0.6,0.68,5818,157,4.523,0.028,0.925,0.355
6359926,K04391.01,49.4746966,0.0009815,1.62,0.46,498,14.5,12.16,5952,161,4.475,0.067,0.928,0.265
6359929,K05269.01,371.50631,0.01167,2.88,1.17,242,0.8,0.99,5696,166,4.491,0.049,0.924,0.376
6364215,K02404.01,2.10081629,1.482E-05,1.65,0.49,1378,852.78,768.81,5815,175,4.5,0.052,0.918,0.275
6364582,K03456.02,486.12702,0.02185,1.18,0.44,249,0.91,1,6008,156,4.373,0.103,1.062,0.397
6366559,K05274.01,55.7583803,0.0006725,1.59,0.3,537,19.6,10.18,5413,97,4.107,0.266,1.403,0.266
6367663,K05275.01,3.781123,0.001038,1.16,0.33,1421,962.72,819.53,6318,199,4.247,0.209,1.216,0.339
6368175,K03503.01,21.1876185,0.0007137,0.79,0.22,676,49.23,40.45,6355,158,4.547,0.036,0.849,0.242
6368175,K03503.02,31.8245304,0.0007928,0.8,0.34,589,28.37,36.25,6338,171,4.545,0.031,0.847,0.365
6368905,K05276.01,220.720142,0.00618,2,0.28,235,0.72,0.35,5150,184,4.634,0.033,0.696,0.097
6369131,K04554.01,8.0772455,0.0001396,2.61,0.31,1228,537.66,180.02,5684,85,3.915,0.217,2.032,0.247
6372194,K05278.01,281.5921577,0.0007882,7.22,1.15,225,0.61,0.33,5330,187,4.627,0.032,0.713,0.114
6372268,K06698.01,5.22422449,,,,,29.83,10.15,,,,,,
6383785,K00239.02,3.62275506,1.499E-05,1.62,0.27,1304,683.84,295.78,5794,78,4.282,0.137,1.216,0.201
6387557,K05279.01,103.722152,0.00234,1.95,0.32,414,6.92,2.96,5784,78,4.33,0.115,1.143,0.187
6423922,K06705.01,0.9951412,1.014E-05,0.22,0.14,509,15.69,34.56,3325,117,5.364,0.012,0.109,0.073
6424561,K04900.01,6.6716723,5.474E-05,1.27,0.43,1024,259.72,258.68,6086,168,4.435,0.07,1.021,0.345
6425377,K05281.01,263.90141,0.003522,23.91,2.04,562,23.6,5.97,5094,80,3.126,0.029,6.247,0.531
6425597,K04861.01,29.1206519,0.0003795,1.6,0.38,528,18.43,12.61,5671,152,4.582,0.038,0.788,0.182
6428794,K04054.01,169.135056,0.001553,2.21,0.15,273,1.31,0.3,5171,103,4.545,0.045,0.801,0.054
6432345,K02757.01,234.635652,0.001384,2.56,0.25,267,1.2,0.37,5422,107,4.481,0.067,0.885,0.088
6436029,K02828.02,505.462916,0.008292,3.46,0.28,181,0.25,0.09,4817,184,4.499,0.095,0.833,0.068
6436505,K06707.01,43.535891,0.0004227,1.86,0.33,444,9.19,5.25,5481,166,4.592,0.032,0.778,0.141
6438099,K02976.01,21.61313362,9.547E-05,1.94,0.23,503,15.14,6.15,5267,156,4.681,0.025,0.632,0.075
6441738,K01246.01,19.03723442,7.375E-05,5.74,1.29,1051,288.04,166.34,5248,68,3.523,0.117,2.892,0.648
6442735,K05283.01,18.7821603,0.0004061,0.83,0.34,681,50.97,61.57,5919,156,4.488,0.048,0.94,0.386
6443093,K05284.01,389.316341,0.002493,27.61,7.7,245,0.86,0.7,5731,153,4.44,0.098,0.958,0.267
6443274,K07567.01,608.20572,0.02616,1.46,0.13,143,0.1,0.03,4486,132,4.642,0.04,0.646,0.059
6451368,K07780.01,5.3360574,0.0001423,1.52,0.31,1667,1823.9,1091.05,6742,163,3.925,0.273,2.032,0.417
6467363,K02840.02,7.4464635,0.0001035,0.77,0.17,879,141.12,94.85,5676,172,4.474,0.117,0.848,0.185
6467363,K02840.01,3.67936863,2.007E-05,0.92,0.2,1112,361.27,242.82,5676,172,4.474,0.117,0.848,0.185
6507334,K08122.01,54.753883835,,2.21,0.76,521,17.47,17.66,6242,168,4.442,0.058,1.047,0.361
6507433,K03815.01,4.7425521,2.574E-05,7.27,2.47,1159,426.49,438.63,6161,193,4.454,0.054,1.053,0.357
6508221,K00416.03,9.74765878,9.882E-05,0.78,0.06,679,50.3,12.33,5176,102,4.612,0.016,0.738,0.054
6508221,K00416.04,31.5322987,0.0009421,0.74,0.07,461,10.65,2.95,5183,106,4.608,0.015,0.739,0.063
6509282,K05287.01,3.98916186,2.025E-05,28.1,1.82,3293,27838.74,5063.14,4998,52,2.524,0.03,16.187,1.05
6511182,K05288.01,29.5632952,0.000217,1.9,0.51,527,18.23,14.73,5595,169,4.562,0.042,0.828,0.221
6516185,K02445.01,47.3659328,0.0008396,11.97,3.3,481,12.62,10.47,5708,169,4.482,0.078,0.902,0.249
6517064,K05289.01,181.81214,0.008056,2.04,0.83,324,2.6,3.08,6060,154,4.509,0.04,0.925,0.375
6517200,K05290.01,435.50635,0.03899,2.06,0.72,225,0.61,0.63,5750,161,4.538,0.027,0.882,0.308
6517255,K05291.01,525.560452,0.005155,12.74,6.86,359,3.92,6.22,4954,110,3.408,0.229,3.796,2.046
6520519,K04749.01,1.97650073,1.096E-05,0.97,0.31,1394,892.9,819.47,5792,161,4.514,0.05,0.923,0.287
6520753,K04504.01,4.13029832,5.216E-05,1.44,0.33,995,231.52,172.92,5490,199,4.557,0.048,0.81,0.187
6520753,K04504.02,8.119343,0.0001602,1.5,0.34,794,94.08,70.26,5490,199,4.557,0.048,0.81,0.187
6523058,K04549.01,2.0481582,1.749E-05,1.16,0.35,1346,773.92,685.72,5799,172,4.548,0.036,0.86,0.254
6523351,K03117.01,6.06664931,4.094E-05,0.87,0.12,915,165.66,65.12,5569,100,4.521,0.028,0.892,0.124
6525946,K02093.03,0.496069986,1.637E-06,10,3.79,6285,369989.68,376546.06,5096,77,2.435,0.117,8.769,3.319
6525946,K02093.02,2.508116,1.454E-05,12.28,4.64,3662,42618.46,43373.68,5096,77,2.435,0.117,8.769,3.319
6525946,K02093.01,6.78341325,2.387E-05,20.75,7.85,2628,11295.61,11495.77,5096,77,2.435,0.117,8.769,3.319
6526710,K00856.01,39.74893077,1.554E-05,14.21,4.46,552,21.87,20.59,6122,181,4.487,0.052,0.964,0.303
6527078,K04657.01,7.57600886,8.526E-05,0.54,0.09,778,86.87,47.22,5361,159,4.588,0.038,0.774,0.133
6527078,K04657.02,10.4314847,7.38E-05,0.77,0.13,700,56.67,30.8,5361,159,4.588,0.038,0.774,0.133
6531617,K07785.01,433.220461,0.005076,2.07,0.33,203,0.4,0.2,5232,156,4.519,0.096,0.777,0.126
6543192,K05297.01,8.0906952,0.0001305,0.8,0.09,811,102.43,29.58,5374,75,4.495,0.049,0.902,0.094
6543893,K01627.03,3.80675878,4.889E-05,2.75,0.45,1574,1449.04,623.13,6068,82,4.04,0.182,1.797,0.295
6543893,K01627.02,5.93919041,3.061E-05,3.7,0.61,1357,801.92,344.85,6068,82,4.04,0.182,1.797,0.295
6551106,K06731.01,3.84615171,4.467E-05,1.14,0.34,1199,487.47,445.56,6106,190,4.487,0.05,0.966,0.291
6584278,K06733.01,1.28940823,1.768E-05,2.48,0.45,3112,22119.66,10309.76,5826,78,3.465,0.252,4.189,0.75
6587002,K00612.03,122.0804953,0.0005677,2.92,0.2,297,1.83,0.44,5132,102,4.571,0.032,0.77,0.054
6590726,K06734.01,498.27269,0.03229,2.12,0.84,214,0.5,0.6,5618,180,4.514,0.034,0.932,0.369
6592335,K04777.01,0.824000125,2.811E-06,0.42,0.07,746,73.09,34.54,3396,50,4.991,0.06,0.28,0.05
6593150,K03037.01,5.4654174,5.012E-05,1.23,0.3,927,174.08,132.04,5612,169,4.566,0.03,0.829,0.207
6594945,K05300.01,188.954072,0.008036,2.46,0.54,468,11.36,7.12,6392,155,3.967,0.266,1.899,0.41
6599919,K00858.01,13.61014819,5.969E-06,19.02,4.92,733,68.29,52.16,5697,154,4.46,0.098,0.903,0.234
6603765,K06739.01,19.164111,0.0002577,1.11,0.14,519,17.12,7.51,5103,153,4.65,0.033,0.674,0.088
6605493,K02559.01,9.30991834,5.387E-05,1.21,0.2,913,164.38,72.29,5806,104,4.353,0.105,1.101,0.174
6606438,K02860.01,103.4269873,0.0008676,3.16,0.97,416,7.08,6.58,6208,194,4.454,0.052,1.024,0.314
6607286,K01239.01,0.783276173,1.269E-06,1.98,0.31,2149,5056.88,2049.01,5640,76,4.247,0.162,1.233,0.19
6607286,K01239.02,3.17405898,1.098E-05,2.09,0.32,1348,780.46,316.24,5640,76,4.247,0.162,1.233,0.19
6607447,K01242.01,99.6442783,0.0001073,8.48,1.27,415,6.98,2.77,6102,82,4.447,0.04,1.016,0.153
6609270,K03090.01,3.82223397,2.231E-05,1.05,0.06,601,30.84,6.44,3729,75,4.733,0.039,0.514,0.029
6614748,K06745.01,383.85362,0.01802,2.78,1.22,314,2.29,2.91,6675,150,4.341,0.076,1.293,0.572
6619815,K03361.01,65.9407869,0.0008703,2.33,0.64,454,10.04,8.25,5982,168,4.493,0.05,0.96,0.266
6620003,K01225.01,1.714274727,1.12E-07,25,0.98,827,110.02,15.32,3874,52,4.715,0.03,0.535,0.021
6628926,K06746.01,2.564012541,,7.27,2.07,1720,2065.56,1796.6,6274,198,4.139,0.286,1.428,0.407
6634112,K05308.01,9.942228056,6.87E-07,22.15,3.6,740,70.93,36.96,5268,158,4.475,0.108,0.843,0.137
6636320,K02989.01,6.33125228,3.802E-05,1.31,0.23,822,108.04,59.23,5383,159,4.603,0.035,0.759,0.132
6664842,K06750.01,5.21395046,9.936E-05,1.24,0.19,1201,492.29,207.81,5529,82,4.123,0.217,1.412,0.223
6665064,K06751.01,24.996068,0.003803,2.4,0.36,604,31.43,12.41,5761,78,4.492,0.022,0.956,0.143
6665860,K04840.01,10.4716194,0.0001534,1.74,0.27,1035,271.12,108.71,5812,78,4.083,0.182,1.574,0.24
6670610,K06752.01,8.9429645,0.0001293,0.89,0.06,536,19.51,5.73,4183,125,4.655,0.056,0.594,0.043
6670742,K06753.01,72.28198,0.001188,13.11,1.98,984,221.28,106.93,7694,221,3.631,0.274,3.627,0.547
6675757,K05310.01,22.2903562,0.0002366,1.13,0.16,632,37.67,14.05,5597,75,4.418,0.085,1,0.141
6677841,K01236.04,98.353149,0.001793,4.13,0.69,552,21.96,10.24,6366,116,4.045,0.196,1.697,0.285
6679295,K02862.01,24.5752524,0.0001782,1.64,0.09,316,2.35,0.49,3678,73,4.755,0.028,0.512,0.029
6690171,K03320.01,85.0624157,2.976E-05,21.26,3.57,355,3.74,2.12,5223,183,4.52,0.051,0.875,0.147
