# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 30 20:29:12 2018
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_radserr1:    Planet Radius Upper Unc. [Solar radii]
# COLUMN pl_radserr2:    Planet Radius Lower Unc. [Solar radii]
# COLUMN pl_radslim:     Planet Radius Limit Flag
# COLUMN pl_disc:        Year of Discovery
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
#
loc_rowid,pl_name,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_kepflag,pl_nnotes,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_disc,hd_name,hip_name
1100,KOI-94 c,KOI-94,c,Transit,10.42364800,0.00001600,-0.00001600,0,0.430000,0.230000,-0.230000,0,88.360,0.750,-0.750,0,0.04900,0.01800,-0.04900,0,0.385,0.037,-0.037,0,0.91000,0.36000,-0.91000,0,1,2,,,,,12.205,,0,Kepler-band,,,,6182.00,58.00,-58.00,0,1.28,0.05,-0.05,0,1.52,0.14,-0.14,0,0.04900,0.01800,-0.04900,0,4.320,0.410,-0.410,0,0.040,0.004,-0.004,0,2013,,
1101,KOI-94 d,KOI-94,d,Transit,22.34298900,0.00000670,-0.00000670,0,0.022000,0.038000,-0.038000,0,89.871,0.123,-0.123,0,0.33400,0.03500,-0.03500,0,1.005,0.095,-0.095,0,0.36300,0.10100,-0.10100,0,1,2,,,,,12.205,,0,Kepler-band,,,,6182.00,58.00,-58.00,0,1.28,0.05,-0.05,0,1.52,0.14,-0.14,0,0.33400,0.03500,-0.03500,0,11.270,1.060,-1.060,0,0.103,0.010,-0.010,0,2013,,
1102,KOI-94 e,KOI-94,e,Transit,54.32031000,0.00012000,-0.00012000,0,0.019000,0.230000,-0.230000,0,89.760,0.150,-0.150,0,0.11000,0.05700,-0.08800,0,0.585,0.055,-0.055,0,0.60000,0.26000,-0.56000,0,1,2,,,,,12.205,,0,Kepler-band,,,,6182.00,58.00,-58.00,0,1.28,0.05,-0.05,0,1.52,0.14,-0.14,0,0.11000,0.05700,-0.08800,0,6.560,0.620,-0.620,0,0.060,0.006,-0.006,0,2013,,
1103,KPS-1 b,KPS-1,b,Transit,1.70629100,0.00005900,-0.00005900,0,0.000000,,,0,83.200,0.880,-0.900,0,1.09000,0.08600,-0.08700,0,1.030,0.130,-0.120,0,1.31000,0.49000,-0.36000,0,0,0,,,,,13.033,,0,V (Johnson),,,,5165.00,90.00,-90.00,0,0.89,0.09,-0.10,0,0.91,0.09,-0.08,0,1.09000,0.08600,-0.08700,0,11.545,1.457,-1.345,0,0.106,0.013,-0.012,0,2018,,
1104,Kapteyn c,Kapteyn,c,Radial Velocity,121.54000000,0.25000000,-0.25000000,0,0.230000,0.100000,-0.120000,0,,,,,0.02200,0.00400,-0.00300,0,,,,,,,,,0,0,3.92,0.01,-0.01,0,8.845,,0,V (Johnson),,,,3550.00,50.00,-50.00,0,0.28,0.01,-0.01,0,0.29,0.03,-0.03,0,,,,,,,,,,,,,2014,HD 33793,HIP 24186
1105,Kepler-10 b,Kepler-10,b,Transit,0.83749100,0.00000200,-0.00000200,0,,,,,85.100,3.400,-4.300,0,0.01450,0.00400,-0.00460,0,0.132,0.004,-0.003,0,8.00000,3.00000,-3.00000,0,1,2,173.00,27.00,-27.00,0,10.940,0.345,0,V (Johnson),,,,5627.00,44.00,-44.00,0,0.91,0.02,-0.02,0,1.06,0.01,-0.01,0,0.01450,0.00400,-0.00460,0,1.481,0.049,-0.029,0,0.014,0.000,0.000,0,2011,,
1106,Kepler-10 c,Kepler-10,c,Transit,45.29430100,0.00004800,-0.00004800,0,0.000000,,,0,89.590,0.250,-0.430,0,0.05400,0.00600,-0.00600,0,0.210,0.008,-0.004,0,7.10000,1.00000,-1.00000,0,1,2,173.00,27.00,-27.00,0,10.940,0.345,0,V (Johnson),,,,5627.00,44.00,-44.00,0,0.91,0.02,-0.02,0,1.06,0.01,-0.01,0,0.05400,0.00600,-0.00600,0,2.350,0.090,-0.040,0,0.022,0.001,0.000,0,2011,,
1107,Kepler-100 b,Kepler-100,b,Transit,6.88705000,,,0,,,,,,,,,0.02300,0.01000,-0.01000,0,0.118,0.004,-0.004,0,14.25000,6.33000,-6.33000,0,1,1,,,,,11.197,,0,Kepler-band,,,,5825.00,75.00,-75.00,0,1.08,0.06,-0.06,0,1.49,0.04,-0.04,0,0.02300,0.01000,-0.01000,0,1.320,0.040,-0.040,0,0.012,0.000,0.000,0,2014,,
1108,Kepler-100 c,Kepler-100,c,Transit,12.81590000,,,0,,,,,,,,,,,,,0.196,0.004,-0.004,0,,,,,1,1,,,,,11.197,,0,Kepler-band,,,,5825.00,75.00,-75.00,0,1.08,0.06,-0.06,0,1.49,0.04,-0.04,0,,,,,2.200,0.050,-0.050,0,0.020,0.001,-0.001,0,2014,,
1109,Kepler-100 d,Kepler-100,d,Transit,35.33310000,,,0,,,,,,,,,,,,,0.144,0.004,-0.004,0,,,,,1,1,,,,,11.197,,0,Kepler-band,,,,5825.00,75.00,-75.00,0,1.08,0.06,-0.06,0,1.49,0.04,-0.04,0,,,,,1.610,0.050,-0.050,0,0.015,0.001,-0.001,0,2014,,
1110,Kepler-1000 b,Kepler-1000,b,Transit,120.01812720,0.00036280,-0.00036280,0,,,,,,,,,,,,,0.425,0.030,-0.028,0,,,,,1,1,925.00,51.17,-50.08,0,13.256,,0,Kepler-band,,,,6453.00,74.15,-73.42,0,1.40,0.04,-0.04,0,1.51,0.08,-0.07,0,,,,,4.760,0.340,-0.310,0,0.044,0.003,-0.003,0,2016,,
1111,Kepler-1001 b,Kepler-1001,b,Transit,14.30511983,0.00004340,-0.00004340,0,,,,,,,,,,,,,0.281,0.030,-0.043,0,,,,,1,1,1009.00,107.00,-69.51,0,15.338,,0,Kepler-band,,,,5491.00,66.16,-68.91,0,0.90,0.04,-0.04,0,0.88,0.09,-0.06,0,,,,,3.150,0.340,-0.480,0,0.029,0.003,-0.004,0,2016,,
1112,Kepler-1002 b,Kepler-1002,b,Transit,4.33642933,0.00000695,-0.00000695,0,,,,,,,,,,,,,0.153,0.005,-0.004,0,,,,,1,1,425.00,14.56,-12.18,0,11.704,,0,Kepler-band,,,,6144.00,47.25,-61.08,0,1.22,0.05,-0.05,0,1.57,0.05,-0.04,0,,,,,1.710,0.060,-0.050,0,0.016,0.001,0.000,0,2016,,
1113,Kepler-1003 b,Kepler-1003,b,Transit,3.55485691,0.00000671,-0.00000671,0,,,,,,,,,,,,,0.159,0.043,-0.020,0,,,,,1,1,873.00,239.60,-116.11,0,14.053,,0,Kepler-band,,,,6109.00,150.04,-195.29,0,1.11,0.13,-0.08,0,1.17,0.32,-0.15,0,,,,,1.780,0.480,-0.220,0,0.016,0.004,-0.002,0,2016,,
1114,Kepler-1004 b,Kepler-1004,b,Transit,5.28789787,0.00001198,-0.00001198,0,,,,,,,,,,,,,0.560,0.070,-0.039,0,,,,,1,1,1080.00,86.99,-66.57,0,13.427,,0,Kepler-band,,,,4972.00,52.30,-39.52,0,1.11,0.18,-0.12,0,3.39,0.28,-0.22,0,,,,,6.280,0.780,-0.440,0,0.058,0.007,-0.004,0,2016,,
1115,Kepler-1005 b,Kepler-1005,b,Transit,6.49801525,0.00001320,-0.00001320,0,,,,,,,,,,,,,0.134,0.019,-0.013,0,,,,,1,1,515.00,72.05,-50.36,0,13.250,,0,Kepler-band,,,,5782.00,68.03,-67.92,0,1.00,0.04,-0.04,0,1.06,0.15,-0.10,0,,,,,1.500,0.210,-0.150,0,0.014,0.002,-0.001,0,2016,,
1116,Kepler-1006 b,Kepler-1006,b,Transit,19.76172042,0.00006670,-0.00006670,0,,,,,,,,,,,,,0.137,0.024,-0.012,0,,,,,1,1,496.00,64.95,-44.95,0,14.563,,0,Kepler-band,,,,5328.00,180.84,-112.84,0,0.78,0.07,-0.06,0,0.74,0.09,-0.06,0,,,,,1.540,0.270,-0.140,0,0.014,0.002,-0.001,0,2016,,
1117,Kepler-1007 b,Kepler-1007,b,Transit,5.18500207,0.00000932,-0.00000932,0,,,,,,,,,,,,,0.128,0.006,-0.006,0,,,,,1,1,365.00,17.69,-18.89,0,14.744,,0,Kepler-band,,,,4587.00,88.05,-98.48,0,0.73,0.03,-0.04,0,0.70,0.03,-0.03,0,,,,,1.440,0.070,-0.070,0,0.013,0.001,-0.001,0,2016,,
1118,Kepler-1008 b,Kepler-1008,b,Transit,12.43931193,0.00002837,-0.00002837,0,,,,,,,,,,,,,0.114,0.006,-0.004,0,,,,,1,1,299.00,13.18,-11.49,0,13.395,,0,Kepler-band,,,,5066.00,79.91,-66.82,0,0.81,0.03,-0.03,0,0.78,0.03,-0.03,0,,,,,1.280,0.070,-0.050,0,0.012,0.001,0.000,0,2016,,
1119,Kepler-1009 b,Kepler-1009,b,Transit,11.35011917,0.00002250,-0.00002250,0,,,,,,,,,,,,,0.194,0.024,-0.021,0,,,,,1,1,281.00,13.64,-14.26,0,15.278,,0,Kepler-band,,,,4027.00,41.14,-36.46,0,0.59,0.02,-0.03,0,0.57,0.02,-0.02,0,,,,,2.170,0.270,-0.240,0,0.020,0.002,-0.002,0,2016,,
1120,Kepler-101 b,Kepler-101,b,Transit,3.48768120,0.00000700,-0.00000700,0,0.086000,0.080000,-0.059000,0,85.820,1.730,-1.530,0,0.16000,0.02000,-0.01000,0,0.510,0.080,-0.070,0,1.45000,0.83000,-0.48000,0,1,1,,,,,13.800,,0,V (Johnson),,,,5667.00,50.00,-50.00,0,1.17,0.07,-0.05,0,1.56,0.20,-0.20,0,0.16000,0.02000,-0.01000,0,5.770,0.850,-0.790,0,0.053,0.008,-0.007,0,2014,,
1121,Kepler-101 c,Kepler-101,c,Transit,6.02976000,0.00007500,-0.00007500,0,0.000000,,,0,84.600,3.400,-3.100,0,0.01000,,,1,0.112,0.017,-0.015,0,10.50000,,,1,1,1,,,,,13.800,,0,V (Johnson),,,,5667.00,50.00,-50.00,0,1.17,0.07,-0.05,0,1.56,0.20,-0.20,0,0.01000,,,1,1.250,0.190,-0.170,0,0.011,0.002,-0.002,0,2014,,
1122,Kepler-1010 b,Kepler-1010,b,Transit,34.26857050,0.00011810,-0.00011810,0,,,,,,,,,,,,,0.207,0.039,-0.016,0,,,,,1,1,610.00,41.36,-35.83,0,14.685,,0,Kepler-band,,,,5253.00,67.75,-80.75,0,0.86,0.04,-0.04,0,0.82,0.05,-0.04,0,,,,,2.320,0.440,-0.180,0,0.021,0.004,-0.002,0,2016,,
1123,Kepler-1011 b,Kepler-1011,b,Transit,5.75322197,0.00000942,-0.00000942,0,,,,,,,,,,,,,0.256,0.026,-0.039,0,,,,,1,1,860.00,89.02,-58.61,0,15.196,,0,Kepler-band,,,,5416.00,95.50,-130.93,0,0.91,0.04,-0.04,0,0.88,0.09,-0.05,0,,,,,2.870,0.290,-0.440,0,0.026,0.003,-0.004,0,2016,,
1124,Kepler-1012 b,Kepler-1012,b,Transit,5.50860439,0.00001151,-0.00001151,0,,,,,,,,,,,,,0.115,0.007,-0.005,0,,,,,1,1,420.00,22.19,-18.75,0,13.317,,0,Kepler-band,,,,5556.00,77.89,-67.52,0,0.95,0.03,-0.04,0,0.91,0.05,-0.04,0,,,,,1.290,0.080,-0.060,0,0.012,0.001,-0.001,0,2016,,
1125,Kepler-1013 b,Kepler-1013,b,Transit,18.93054959,0.00004672,-0.00004672,0,,,,,,,,,,,,,0.192,0.032,-0.018,0,,,,,1,1,433.00,21.12,-19.39,0,14.417,,0,Kepler-band,,,,4954.00,77.29,-81.88,0,0.81,0.04,-0.04,0,0.76,0.03,-0.03,0,,,,,2.150,0.360,-0.200,0,0.020,0.003,-0.002,0,2016,,
1126,Kepler-1014 b,Kepler-1014,b,Transit,16.57110363,0.00003817,-0.00003817,0,,,,,,,,,,,,,0.213,0.019,-0.022,0,,,,,1,1,672.00,61.42,-43.10,0,14.640,,0,Kepler-band,,,,5388.00,68.87,-66.36,0,0.88,0.04,-0.05,0,0.84,0.07,-0.05,0,,,,,2.390,0.210,-0.250,0,0.022,0.002,-0.002,0,2016,,
1127,Kepler-1015 b,Kepler-1015,b,Transit,16.00494214,0.00004175,-0.00004175,0,,,,,,,,,,,,,0.317,0.118,-0.059,0,,,,,1,1,932.00,334.63,-173.00,0,12.818,,0,Kepler-band,,,,6769.00,136.36,-197.14,0,1.49,0.22,-0.15,0,1.81,0.67,-0.34,0,,,,,3.550,1.320,-0.660,0,0.033,0.012,-0.006,0,2016,,
1128,Kepler-1016 b,Kepler-1016,b,Transit,1.95452434,0.00000331,-0.00000331,0,,,,,,,,,,,,,0.194,0.033,-0.025,0,,,,,1,1,1239.00,210.99,-141.40,0,15.356,,0,Kepler-band,,,,5821.00,177.41,-169.89,0,0.99,0.08,-0.07,0,1.00,0.17,-0.10,0,,,,,2.180,0.370,-0.280,0,0.020,0.003,-0.003,0,2016,,
1129,Kepler-1016 c,Kepler-1016,c,Transit,105.65513690,0.00054520,-0.00054520,0,,,,,,,,,,,,,0.328,0.058,-0.033,0,,,,,1,1,1239.00,210.99,-141.40,0,15.356,,0,Kepler-band,,,,5821.00,177.41,-169.89,0,0.99,0.08,-0.07,0,1.00,0.17,-0.10,0,,,,,3.680,0.650,-0.370,0,0.034,0.006,-0.003,0,2016,,
1130,Kepler-1017 b,Kepler-1017,b,Transit,7.23400469,0.00001433,-0.00001433,0,,,,,,,,,,,,,0.178,0.026,-0.011,0,,,,,1,1,554.00,22.09,-20.74,0,14.139,,0,Kepler-band,,,,5473.00,93.16,-81.05,0,0.93,0.04,-0.04,0,0.87,0.03,-0.03,0,,,,,1.990,0.290,-0.120,0,0.018,0.003,-0.001,0,2016,,
1131,Kepler-1018 b,Kepler-1018,b,Transit,49.10135140,0.00018760,-0.00018760,0,,,,,,,,,,,,,0.230,0.027,-0.017,0,,,,,1,1,894.00,103.42,-65.54,0,15.041,,0,Kepler-band,,,,5518.00,61.16,-57.64,0,0.91,0.04,-0.06,0,0.88,0.10,-0.06,0,,,,,2.580,0.300,-0.190,0,0.024,0.003,-0.002,0,2016,,
1132,Kepler-1019 b,Kepler-1019,b,Transit,1.41122985,0.00000075,-0.00000075,0,,,,,,,,,,,,,0.130,0.004,-0.014,0,,,,,1,1,198.00,9.14,-12.43,0,13.590,,0,Kepler-band,,,,4433.00,43.73,-45.09,0,0.70,0.03,-0.05,0,0.67,0.02,-0.04,0,,,,,1.460,0.050,-0.160,0,0.013,0.000,-0.001,0,2016,,
1133,Kepler-102 b,Kepler-102,b,Transit,5.28696000,,,0,,,,,,,,,,,,,0.042,0.002,-0.002,0,,,,,1,1,,,,,11.492,,0,Kepler-band,,,,4909.00,41.00,-41.00,0,0.81,0.04,-0.09,0,0.76,0.07,-0.07,0,,,,,0.470,0.020,-0.020,0,0.004,0.000,0.000,0,2014,,
1134,Kepler-102 c,Kepler-102,c,Transit,7.07142000,,,0,,,,,,,,,,,,,0.052,0.002,-0.002,0,,,,,1,1,,,,,11.492,,0,Kepler-band,,,,4909.00,41.00,-41.00,0,0.81,0.04,-0.09,0,0.76,0.07,-0.07,0,,,,,0.580,0.020,-0.020,0,0.005,0.000,0.000,0,2014,,
1135,Kepler-102 d,Kepler-102,d,Transit,10.31170000,,,0,,,,,,,,,0.01200,0.00600,-0.00600,0,0.105,0.004,-0.004,0,13.27000,6.46000,-6.46000,0,1,1,,,,,11.492,,0,Kepler-band,,,,4909.00,41.00,-41.00,0,0.81,0.04,-0.09,0,0.76,0.07,-0.07,0,0.01200,0.00600,-0.00600,0,1.180,0.040,-0.040,0,0.011,0.000,0.000,0,2014,,
1136,Kepler-102 e,Kepler-102,e,Transit,16.14570000,,,0,,,,,,,,,0.02800,0.00600,-0.00600,0,0.198,0.006,-0.006,0,4.68000,1.12000,-1.12000,0,1,1,,,,,11.492,,0,Kepler-band,,,,4909.00,41.00,-41.00,0,0.81,0.04,-0.09,0,0.76,0.07,-0.07,0,0.02800,0.00600,-0.00600,0,2.220,0.070,-0.070,0,0.020,0.001,-0.001,0,2013,,
1137,Kepler-102 f,Kepler-102,f,Transit,27.45360000,,,0,,,,,,,,,,,,,0.079,0.003,-0.003,0,,,,,1,1,,,,,11.492,,0,Kepler-band,,,,4909.00,41.00,-41.00,0,0.81,0.04,-0.09,0,0.76,0.07,-0.07,0,,,,,0.880,0.030,-0.030,0,0.008,0.000,0.000,0,2014,,
1138,Kepler-1020 b,Kepler-1020,b,Transit,96.91514960,0.00036320,-0.00036320,0,,,,,,,,,,,,,0.203,0.007,-0.008,0,,,,,1,1,446.00,12.98,-14.07,0,14.031,,0,Kepler-band,,,,5227.00,66.71,-60.63,0,0.87,0.03,-0.03,0,0.80,0.02,-0.02,0,,,,,2.280,0.080,-0.090,0,0.021,0.001,-0.001,0,2016,,
1139,Kepler-1021 b,Kepler-1021,b,Transit,13.47469571,0.00003210,-0.00003210,0,,,,,,,,,,,,,0.208,0.022,-0.016,0,,,,,1,1,837.00,88.53,-67.30,0,15.164,,0,Kepler-band,,,,5431.00,143.14,-143.99,0,0.89,0.05,-0.05,0,0.86,0.09,-0.06,0,,,,,2.330,0.250,-0.180,0,0.021,0.002,-0.002,0,2016,,
1140,Kepler-1022 b,Kepler-1022,b,Transit,10.99469878,0.00001880,-0.00001880,0,,,,,,,,,,,,,0.211,0.007,-0.025,0,,,,,1,1,455.00,20.19,-23.27,0,15.389,,0,Kepler-band,,,,4445.00,49.47,-51.77,0,0.71,0.03,-0.04,0,0.68,0.02,-0.03,0,,,,,2.360,0.080,-0.280,0,0.022,0.001,-0.003,0,2016,,
1141,Kepler-1023 b,Kepler-1023,b,Transit,62.13877140,0.00021990,-0.00021990,0,,,,,,,,,,,,,0.235,0.027,-0.016,0,,,,,1,1,686.00,78.27,-44.16,0,14.520,,0,Kepler-band,,,,5494.00,75.28,-98.69,0,0.93,0.04,-0.04,0,0.89,0.10,-0.05,0,,,,,2.630,0.300,-0.180,0,0.024,0.003,-0.002,0,2016,,
1142,Kepler-1024 b,Kepler-1024,b,Transit,66.41621330,0.00035380,-0.00035380,0,,,,,,,,,,,,,0.349,0.024,-0.023,0,,,,,1,1,1017.00,64.86,-69.53,0,15.983,,0,Kepler-band,,,,5143.00,126.73,-76.37,0,0.81,0.04,-0.05,0,0.78,0.04,-0.05,0,,,,,3.910,0.270,-0.260,0,0.036,0.002,-0.002,0,2016,,
1143,Kepler-1025 b,Kepler-1025,b,Transit,37.32294930,0.00013630,-0.00013630,0,,,,,,,,,,,,,0.177,0.037,-0.020,0,,,,,1,1,716.00,148.44,-82.28,0,13.573,,0,Kepler-band,,,,6089.00,102.40,-95.52,0,1.09,0.08,-0.07,0,1.13,0.23,-0.12,0,,,,,1.980,0.410,-0.220,0,0.018,0.004,-0.002,0,2016,,
1144,Kepler-1026 b,Kepler-1026,b,Transit,36.51560530,0.00010370,-0.00010370,0,,,,,,,,,,,,,0.197,0.029,-0.013,0,,,,,1,1,389.00,19.89,-21.87,0,14.254,,0,Kepler-band,,,,4948.00,85.79,-89.37,0,0.79,0.04,-0.04,0,0.75,0.03,-0.04,0,,,,,2.210,0.330,-0.150,0,0.020,0.003,-0.001,0,2016,,
1145,Kepler-1027 b,Kepler-1027,b,Transit,1.90780520,0.00000246,-0.00000246,0,,,,,,,,,,,,,0.079,0.004,-0.002,0,,,,,1,1,291.00,7.82,-6.58,0,12.852,,0,Kepler-band,,,,5436.00,66.85,-58.48,0,0.91,0.03,-0.02,0,0.82,0.02,-0.02,0,,,,,0.890,0.040,-0.020,0,0.008,0.000,0.000,0,2016,,
1146,Kepler-1028 b,Kepler-1028,b,Transit,2.51462432,0.00000495,-0.00000495,0,,,,,,,,,,,,,0.119,0.013,-0.010,0,,,,,1,1,633.00,69.95,-51.06,0,14.325,,0,Kepler-band,,,,5522.00,102.65,-78.23,0,0.90,0.05,-0.06,0,0.87,0.10,-0.07,0,,,,,1.330,0.150,-0.110,0,0.012,0.001,-0.001,0,2016,,
1147,Kepler-1029 b,Kepler-1029,b,Transit,4.41769648,0.00000890,-0.00000890,0,,,,,,,,,,,,,0.112,0.007,-0.006,0,,,,,1,1,422.00,23.20,-22.95,0,14.310,,0,Kepler-band,,,,5030.00,68.38,-91.81,0,0.82,0.04,-0.04,0,0.77,0.04,-0.04,0,,,,,1.260,0.080,-0.070,0,0.012,0.001,-0.001,0,2016,,
1148,Kepler-103 b,Kepler-103,b,Transit,15.96540000,,,0,,,,,,,,,0.03100,0.02700,-0.02700,0,0.301,0.008,-0.008,0,1.38000,1.40000,-1.40000,0,1,1,,,,,12.287,,0,Kepler-band,,,,5845.00,88.00,-88.00,0,1.09,0.07,-0.07,0,1.44,0.04,-0.04,0,0.03100,0.02700,-0.02700,0,3.370,0.090,-0.090,0,0.031,0.001,-0.001,0,2014,,
1149,Kepler-103 c,Kepler-103,c,Transit,179.61200000,,,0,,,,,,,,,0.11400,0.07900,-0.07900,0,0.459,0.012,-0.012,0,1.47000,1.20000,-1.20000,0,1,1,,,,,12.287,,0,Kepler-band,,,,5845.00,88.00,-88.00,0,1.09,0.07,-0.07,0,1.44,0.04,-0.04,0,0.11400,0.07900,-0.07900,0,5.140,0.140,-0.140,0,0.047,0.001,-0.001,0,2014,,
1150,Kepler-1030 b,Kepler-1030,b,Transit,19.32952416,0.00007474,-0.00007474,0,,,,,,,,,,,,,0.221,0.011,-0.016,0,,,,,1,1,795.00,41.25,-42.24,0,15.719,,0,Kepler-band,,,,4983.00,78.38,-85.01,0,0.80,0.04,-0.04,0,0.76,0.04,-0.04,0,,,,,2.480,0.120,-0.180,0,0.023,0.001,-0.002,0,2016,,
1151,Kepler-1031 b,Kepler-1031,b,Transit,1.22621732,0.00000451,-0.00000451,0,,,,,,,,,,,,,0.078,0.019,-0.010,0,,,,,1,1,741.00,179.60,-89.39,0,13.800,,0,Kepler-band,,,,6011.00,125.91,-133.30,0,1.09,0.10,-0.07,0,1.12,0.27,-0.13,0,,,,,0.870,0.210,-0.110,0,0.008,0.002,-0.001,0,2016,,
1152,Kepler-1032 b,Kepler-1032,b,Transit,3.29011795,0.00000505,-0.00000505,0,,,,,,,,,,,,,0.167,0.009,-0.007,0,,,,,1,1,607.00,20.92,-23.92,0,15.753,,0,Kepler-band,,,,4647.00,57.14,-84.37,0,0.77,0.03,-0.03,0,0.71,0.02,-0.02,0,,,,,1.870,0.100,-0.080,0,0.017,0.001,-0.001,0,2016,,
1153,Kepler-1033 b,Kepler-1033,b,Transit,7.56052806,0.00002405,-0.00002405,0,,,,,,,,,,,,,0.224,0.037,-0.016,0,,,,,1,1,1425.00,230.34,-101.79,0,15.986,,0,Kepler-band,,,,5547.00,59.76,-66.49,0,0.94,0.04,-0.04,0,0.92,0.15,-0.06,0,,,,,2.510,0.410,-0.180,0,0.023,0.004,-0.002,0,2016,,
1154,Kepler-1034 b,Kepler-1034,b,Transit,12.12400943,0.00003320,-0.00003320,0,,,,,,,,,,,,,0.202,0.015,-0.012,0,,,,,1,1,706.00,45.88,-46.12,0,15.090,,0,Kepler-band,,,,5198.00,102.36,-86.25,0,0.83,0.04,-0.04,0,0.80,0.05,-0.05,0,,,,,2.260,0.170,-0.140,0,0.021,0.002,-0.001,0,2016,,
